,sentence
10403," Yuan Shang was puffed up with pride after his victory over Shi Huan and, without deigning to wait the arrival of his brothers, he marched out with thirty thousand troops to Liyang to meet the army of Cao Cao."
10404," Zhang Liao came out to challenge him, and Yuan Shang, accepting the challenge rode out with spear set."
10405, But he only lasted to the third bout when he had to give way.
10406," Zhang Liao smote with full force and Yuan Shang, quite broken, fled pell−mell to Jizhou."
10407," His defeat was a heavy shock to his father Yuan Shao, who had a severe fit of hemorrhage at the news and swooned."
10408,"  Lady Liu, his wife, got him to bed as quickly as possible, but he did not rally; and she soon saw it was necessary to prepare for the end."
10409, So she sent for Shen Pei and Peng Ji that the succession might be settled.
10410," They came and stood by the sick man's bed, but by this time he could no longer speak; he only made motions with his hands."
10411,"  When his wife put the formal question,	Is Yuan Shang to succeed?"
10412,  Yuan Shao nodded his head.
10413, Shen Pei at the bedside wrote out the dying man's testament.
10414," Presently Yuan Shao uttered a loud moan, a fresh fit of bleeding followed, and he passed away."
10415,"  Born of a line of nobles famous for generations,  He himself in his youth was wayward always and headstrong, Vainly he called to his side generals skilled and courageous, Gathered beneath his banner countless legions of soldiers, For he was timid at heart, a lamb dressed as a tiger, Merely a cowardly chicken, phoenix−feathered but spurless."
10416, Pitiful was the fate of his house; for when he departed Brother with brother strove and quarrels arose in the household.
10417,  Shen Pei and some others set about the mourning ceremonies for the dead man.
10418," His wife, Lady Liu, put to death five of his favorite concubines, and such was the bitterness of her jealousy that, not content with this, she shaved off the hair and slashed the faces of their poor corpses lest their spirits should meet and rejoin her late husband in the land of shades beneath the Nine Golden Springs."
10419, Her son followed up this piece of cruelty by slaying all the relatives of the unhappy concubines lest they should avenge their death.
10420,"  Shen Pei and Peng Ji declared Yuan Shang successor with the titles of Regent Marshal and Supreme Imperial Protector of the four regions of Jizhou, Qingzhou, Youzhou, and Bingzhou and sent in a report of the death of the late Imperial Protector."
10421,"  At this time Yuan Tan, the eldest son, had already marched out his army to oppose Cao Cao; but hearing of his father's death, he called in Guo Tu and Xin Ping to consult as to his course of action."
10422,"    In your absence, my lord,	said Guo Tu,	the two advisers of your younger brother will certainly set him up as lord, wherefore you must act quickly."
10423,"    Those two, Shen Pei and Peng Ji, have already laid their plans,	said Xin Ping."
10424,"	If you go, you will meet with some misfortune."
10425,  Then what should I do?
10426,	asked Yuan Tan.
10427,"  Guo Tu replied,	Go and camp near the city, and watch what is taking place while I enter and inquire."
10428, Accordingly Guo Tu entered the city and sought an interview with the young Imperial Protector.
10429,   Why did not my brother come?
10430,	asked Yuan Shang after the usual salutes.
10431," Guo Tu said,	He cannot come as he is in the camp unwell."
10432,   By the command of my late father I take the lordship.
10433," Now I confer upon my brother the rank of General of the Flying Cavalry, and I wish him to go at once to attack Cao Cao, who is pressing on the borders."
10434, I will follow as soon as my army is in order.
10435,"    There is no one in our camp to give advice,	said Guo Tu."
10436,	I wish to have the services of Shen Pei and Peng Ji.
10437,"    I also need the help of these two,	said Yuan Shang."
10438,"	And as I am always working at schemes, I do not see how I can do without them."
10439,"  Then let one of these two go,	replied Guo Tu."
10440,"  Yuan Shang could do no other than accede to this request, so he bade the two men cast lots who should go."
10441," Peng Ji drew the lot and was appointed, receiving a seal of office."
10442, Then he accompanied Guo Tu to the camp.
10443," But when he arrived and found Yuan Tan in perfect health, he grew suspicious and resigned."
10444,"  Yuan Tan angrily refused to accept his resignation and was disposed to put him to death, but Guo Tu privately dissuaded him, saying,	Cao Cao is on the borders, and Peng Ji must be kept here to allay your brother's suspicions."
10445," After we have beaten Cao Cao, we can at once make an attempt on Jizhou."
10446,  Yuan Tan agreed and forthwith broke up his camp to march against the enemy.
10447, He reached Liyang and lost no time in offering battle.
10448," He chose for his champion Wang Zhao and, when he rode out, Cao Cao sent Xu Huang  to meet him."
10449, These two had fought but a few bouts when Wang Zhao was slain.
10450," At once Cao Cao's army pressed forward, and Yuan Tan suffered a severe defeat."
10451," Yuan Tan drew off his army and retired into Liyang, whence he sent to his brother for reinforcements."
10452,  Yuan Shang and his adviser Shen Pei discussed the matter and only five thousand troops were sent.
10453," Cao Cao hearing of the dispatch of this meager force sent Li Dian and Yue Jin to waylay them, and the half legion was destroyed."
10454," When Yuan Tan heard of the inadequate force sent and their destruction, he was very wrath and roundly abused Peng Ji."
10455,"  Peng Ji replied,	Let me write to my lord and pray him to come himself."
10456,  So Peng Ji wrote and the letter was sent.
10457," When it arrived, Yuan Shang again consulted Shen Pei who said,   Guo Tu, your elder brother's adviser, is very guileful."
10458, Formerly he left without discussion because Cao Cao was on the border.
10459," If Cao Cao be defeated, there will certainly be an attempt on you."
10460, The better plan is to withhold assistance and use Cao Cao's hand to destroy your rival.
10461,	Yuan Shang took his advice and no help was sent.
10462," When the messenger returned to Liyang without success, Yuan Tan was very angry and showed it by putting Peng Ji to death."
10463, He also began to talk of surrendering to Cao Cao.
10464," Soon spies brought news of this to Yuan Shang, and again Shen Pei was called in."
10465,"  Yuan Shang said,	If Yuan Tan goes over to Cao Cao, they will both attack Jizhou, and we shall be in great danger."
10466,"  Finally Shen Pei and Xu You were left to take care of the defense of the city, and Yuan Shang marched his army to the rescue of his brother."
10467,  Who dares lead the van?
10468,	said Yuan Shang.
10469,"  Two brothers named Lu Xiang and Lu Kuang volunteered, and thirty thousand troops were given them."
10470, They were the first to reach Liyang.
10471,"  Yuan Tan was pleased that Yuan Shang had decided to play a brotherly part and come to his aid, so he at once abandoned all thought of going over to the enemy."
10472," He being in the city, Yuan Shang camped outside, making that an ox−horn formation of their strategic position."
10473,"  Before long Yuan Xi, the second brother, and their cousin, Gao Gan, arrived with their legions and also camped outside the city."
10474,"  Engagements took place daily, and Yuan Shang suffered many defeats."
10475, On the other hand Cao Cao was victorious and elated.
